title,pageid,url,category_count,link_count,text_file
Accessories,3283,https://bitlife-life-simulator.fandom.com/wiki/Accessories,2,3,pages/Accessories/content.txt
Achievements,186,https://bitlife-life-simulator.fandom.com/wiki/Achievements,6,30,pages/Achievements/content.txt
Activities,349,https://bitlife-life-simulator.fandom.com/wiki/Activities,4,38,pages/Activities/content.txt
Addictions,98,https://bitlife-life-simulator.fandom.com/wiki/Addictions,1,1,pages/Addictions/content.txt
Adoption,368,https://bitlife-life-simulator.fandom.com/wiki/Adoption,2,9,pages/Adoption/content.txt
Afghanistan,921,https://bitlife-life-simulator.fandom.com/wiki/Afghanistan,2,104,pages/Afghanistan/content.txt
Age,348,https://bitlife-life-simulator.fandom.com/wiki/Age,1,3,pages/Age/content.txt
Algeria,3607,https://bitlife-life-simulator.fandom.com/wiki/Algeria,2,102,pages/Algeria/content.txt
Alternative Doctor,350,https://bitlife-life-simulator.fandom.com/wiki/Alternative_Doctor,2,1,pages/Alternative_Doctor/content.txt
Andorra,4140,https://bitlife-life-simulator.fandom.com/wiki/Andorra,2,103,pages/Andorra/content.txt
Android version,696,https://bitlife-life-simulator.fandom.com/wiki/Android_version,2,7,pages/Android_version/content.txt
Angola,4141,https://bitlife-life-simulator.fandom.com/wiki/Angola,2,104,pages/Angola/content.txt
Argentina,946,https://bitlife-life-simulator.fandom.com/wiki/Argentina,2,102,pages/Argentina/content.txt
Aruba,4142,https://bitlife-life-simulator.fandom.com/wiki/Aruba,2,103,pages/Aruba/content.txt
Assault,4493,https://bitlife-life-simulator.fandom.com/wiki/Assault,3,20,pages/Assault/content.txt
Assets,96,https://bitlife-life-simulator.fandom.com/wiki/Assets,6,10,pages/Assets/content.txt
Astronaut,4498,https://bitlife-life-simulator.fandom.com/wiki/Astronaut,2,29,pages/Astronaut/content.txt
Australia,945,https://bitlife-life-simulator.fandom.com/wiki/Australia,2,103,pages/Australia/content.txt
Austria,1781,https://bitlife-life-simulator.fandom.com/wiki/Austria,2,102,pages/Austria/content.txt
Bahamas,1688,https://bitlife-life-simulator.fandom.com/wiki/Bahamas,2,102,pages/Bahamas/content.txt
Bangladesh,3519,https://bitlife-life-simulator.fandom.com/wiki/Bangladesh,2,103,pages/Bangladesh/content.txt
Belgium,935,https://bitlife-life-simulator.fandom.com/wiki/Belgium,2,103,pages/Belgium/content.txt
Belize,4143,https://bitlife-life-simulator.fandom.com/wiki/Belize,2,105,pages/Belize/content.txt
Bitizenship,418,https://bitlife-life-simulator.fandom.com/wiki/Bitizenship,1,7,pages/Bitizenship/content.txt
BitLife - Life Simulator Wiki,4,https://bitlife-life-simulator.fandom.com/wiki/BitLife_-_Life_Simulator_Wiki,6,17,pages/BitLife_-_Life_Simulator_Wiki/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
BitLife: Life Simulator,541,https://bitlife-life-simulator.fandom.com/wiki/BitLife%3A_Life_Simulator,4,15,pages/BitLife__Life_Simulator/content.txt
